name,unit,current_price,original_price,discount
Pepe Jeans Grey Melange Men Vest (Cotton Sleeveless),1 Small,439,599,26% OFF
Pepe Jeans Premium Kids Wear Desert Rose Combo Ksc01 7-10 Yr,NA,299,499,40% OFF
Pepe Jeans Premium Cotton Lace Camisole Skin L,1 Large,389,499,22% OFF
"Pepe Jeans Light Black Men Vest (Cotton, Solid, Sleeveless)",1 Small,449,649,30% OFF
Pepe Jeans All Day Comfort Black Printed Boxer- ATB02,1 Small,569,799,28% OFF
Pepe Jeans Premium Enriched Cotton Black Melange Shorts- ATS01,NA,599,1199,50% OFF
"Pepe Jeans Beige Men Boxer (Cotton, Mid-Rise)",1 Small,299,549,45% OFF
"Pepe Jeans Black Shorts (Cotton, Solid)",NA,599,1199,50% OFF
Pepe Jeans Men Boxer- CLLB02 Grey L,NA,589,899,34% OFF
Pepe Jeans Basic Solid True Blue Trunk (Pack of 2)- CLT01,2 Small,492,579,15% OFF
Pepe Jeans Premium Kids Wear Monster Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Iced Aqua Combo Ksc01 4-6 Yr shocks,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Navy Number Combo Ksc01 4-6 Yr shocks,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Carmine Olive Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans Men Boxer- CLLB02 Black S,NA,579,899,35% OFF
Pepe Jeans Premium Enriched Cotton Grey Melange Shorts- ATS01,NA,589,1199,50% OFF
"Pepe Jeans Grey Melange Men Trunk (Egyptian Cotton Mid-Rise, Solid)",1 Medium,279,329,15% OFF
"Pepe Jeans All Day Comfort Black Printed, red pattern Boxer- ATB02",NA,569,799,28% OFF
Pepe Jeans Premium Kids Wear Rapture Rose Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Navy Car Combo Ksc01 2-3 Yr,NA,299,499,40% OFF
"Pepe Jeans Navy Blue Shorts (Men, Cotton, Solid)",NA,749,1199,37% OFF
Pepe Jeans Premium Kids Wear Animal Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Grey Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans BGB01 01 OL,NA,486,649,25% OFF
Pepe Jeans Premium Kids Wear Aurora Pink Combo Ksc01 1-2 Yr shocks,NA,299,499,40% OFF
Pepe Jeans Cotton Night Suit Teal Floral,1 Small,1340,1799,25% OFF
Pepe Jeans Cotton Night Suit Grey Floral,1 Small,1340,1799,25% OFF
Pepe Jeans Men Boxer- CLLB02 Navy XL,NA,593,899,34% OFF
Pepe Jeans Premium Kids Wear Peach Yellow Combo Ksc01 7-10 Yr,NA,299,499,40% OFF
Pepe Jeans Premium Kids Wear Bow Combo Ksc01 4-6 Yr,NA,299,499,40% OFF
Pepe Jeans Poseidon Men Boxer (Cotton),NA,299,549,45% OFF
Pepe Jeans Basic Solid Blue Trunk (Pack of 2)- CLT01,2 Small,492,579,15% OFF
Pepe Jeans Cotton Night Suit Iris Lilac,1 Large,1340,1799,25% OFF
Pepe Jeans Cotton Night Suit Red Floral,1 Small,1640,2199,25% OFF
Pepe Jeans Cotton Night Suit Teal Floral M,1 Medium,1640,2199,25% OFF
Pepe Jeans BGB02-01-CLBL AOP,1 Large,599,NA,NA
"Pepe Jeans Grey Melange Men Vest (Cotton, Solid, Sleeveless)",1 Large,439,649,32% OFF
"Pepe Jeans Navy Blue Briefs- PPB01 (Pack of 1, Solid)",1 Medium,359,449,20% OFF
"Pepe Jeans Navy Blue Men Brief (M, Pack of 2)",2 Medium,431,479,10% OFF
"Pepe Jeans White Men Vest (Combed Cotton, Ribbed, Sleeveless)",NA,499,669,25% OFF
Pepe Jeans Men's Classic Blue Trunk with Ultrasoft waistband CLT02,1 Small,509,599,15% OFF
Pepe Jeans Premium Kids Wear Sailor Blue Combo Ksc01 1-2 Yr,NA,299,499,40% OFF
Pepe Jeans Navy Cotton Lounge Pants- ATT01,1 Medium,799,1399,42% OFF
"Pepe Jeans Grey Men Brief (Cotton, Piece of 1)",NA,288,339,15% OFF
Pepe Jeans Premium Cotton Hipsters Multicolor,3 Large,479,599,20% OFF
Pepe Jeans Men's Classic Grey Brief with Ultrasoft waistband- CLB02-02,2 Large,431,479,10% OFF
Pepe Jeans High Quality Grey Briefs- OPB07,NA,367,459,20% OFF
Pepe Jeans Black Cotton Lounge Pants- ATT01,NA,799,1399,42% OFF
"Pepe Jeans Charcoal Trunk (Cotton, XL, Solid, Pack of 2)",NA,509,599,15% OFF
Pepe Jeans Premium Egyptian Cotton Trunk- Black,1 Large,279,329,15% OFF
Pepe Jeans Black Trunk- Soft & Comfortable-PPT01,1 Large,399,499,20% OFF
Pepe Jeans Classic Cotton Printed Boxers (Dark Grey)- CLLB01,NA,299,549,45% OFF
